"condition","phase","n_participants","mean_hazard","dt_estimate","exp_drops_per_min","risk_1s"
"perturbation","baseline_task",30,0.022852367131606,0.0109999999999673,380.816354414578,0.0521536345573839
"perturbation","retention",30,0.0235696272398942,0.0109999999999673,408.167960563081,0.0536984448504995
"perturbation","transfer",30,0.0200222609509511,0.0109999999999673,283.361956284999,0.046013469076156
"control","baseline_task",30,0.0217151441241969,0.0109999999999673,339.669347409154,0.0496950159934152
"control","retention",30,0.0215315585458505,0.0109999999999673,333.279186851415,0.0492970272953747
"control","transfer",30,0.0174091806297395,0.0109999999999673,207.710181764664,0.0402795755859048
"perturbation_visualization","baseline_task",30,0.0228947010286926,0.0109999999999673,382.400432616666,0.0522449367478323
"perturbation_visualization","retention",30,0.0236792516711676,0.0109999999999673,412.444728542717,0.0539341567900342
"perturbation_visualization","transfer",30,0.0202391932297856,0.0109999999999673,290.251718477909,0.0464866960293876
